graph_seed,regime,k,rep_a,rep_b,jaccard_distance,fresh_score_gap,score_a,score_b,evaluation_set
42002,sparse_drive,8,new_rep1,new_rep2,0.9333333333333332,0.0351068122933307,0.2105973431219657,0.2457041554152965,stage4f_fresh_6501_6524
42002,sparse_drive,8,new_rep1,new_rep3,1.0,0.0031453274811306,0.2105973431219657,0.2137426706030964,stage4f_fresh_6501_6524
42002,sparse_drive,8,new_rep1,previous_rep0,1.0,0.0419162275890509,0.2105973431219657,0.1686811155329148,stage4f_fresh_6501_6524
42002,sparse_drive,8,new_rep2,new_rep3,1.0,0.0319614848122001,0.2457041554152965,0.2137426706030964,stage4f_fresh_6501_6524
42002,sparse_drive,8,new_rep2,previous_rep0,0.9333333333333332,0.0770230398823817,0.2457041554152965,0.1686811155329148,stage4f_fresh_6501_6524
42002,sparse_drive,8,new_rep3,previous_rep0,0.9333333333333332,0.0450615550701816,0.2137426706030964,0.1686811155329148,stage4f_fresh_6501_6524
42002,sparse_drive,32,new_rep1,new_rep2,0.4390243902439024,0.1694040739287933,0.4398503980288903,0.270446324100097,stage4f_fresh_6501_6524
42002,sparse_drive,32,new_rep1,new_rep3,0.5116279069767442,0.0538549410800139,0.4398503980288903,0.3859954569488764,stage4f_fresh_6501_6524
42002,sparse_drive,32,new_rep1,previous_rep0,0.3589743589743589,0.008596516524752,0.4398503980288903,0.4312538815041383,stage4f_fresh_6501_6524
42002,sparse_drive,32,new_rep2,new_rep3,0.4,0.1155491328487793,0.270446324100097,0.3859954569488764,stage4f_fresh_6501_6524
42002,sparse_drive,32,new_rep2,previous_rep0,0.5116279069767442,0.1608075574040413,0.270446324100097,0.4312538815041383,stage4f_fresh_6501_6524
42002,sparse_drive,32,new_rep3,previous_rep0,0.4390243902439024,0.0452584245552619,0.3859954569488764,0.4312538815041383,stage4f_fresh_6501_6524
42002,sparse_drive,64,new_rep1,new_rep2,0.3589743589743589,0.0409718000640471,0.4451559763401747,0.4861277764042218,stage4f_fresh_6501_6524
42002,sparse_drive,64,new_rep1,new_rep3,0.4390243902439024,0.1077560571332773,0.4451559763401747,0.552912033473452,stage4f_fresh_6501_6524
42002,sparse_drive,64,new_rep1,previous_rep0,0.3376623376623376,0.0293506489445765,0.4451559763401747,0.4158053273955981,stage4f_fresh_6501_6524
42002,sparse_drive,64,new_rep2,new_rep3,0.4390243902439024,0.0667842570692301,0.4861277764042218,0.552912033473452,stage4f_fresh_6501_6524
42002,sparse_drive,64,new_rep2,previous_rep0,0.3589743589743589,0.0703224490086236,0.4861277764042218,0.4158053273955981,stage4f_fresh_6501_6524
42002,sparse_drive,64,new_rep3,previous_rep0,0.4,0.1371067060778538,0.552912033473452,0.4158053273955981,stage4f_fresh_6501_6524
42002,transition_dense,8,new_rep1,new_rep2,0.9333333333333332,0.0091880190496643,0.1223752214573323,0.113187202407668,stage4f_fresh_6501_6524
42002,transition_dense,8,new_rep1,new_rep3,1.0,0.0079111700567107,0.1223752214573323,0.130286391514043,stage4f_fresh_6501_6524
42002,transition_dense,8,new_rep1,previous_rep0,1.0,0.0184801745538911,0.1223752214573323,0.1408553960112234,stage4f_fresh_6501_6524
42002,transition_dense,8,new_rep2,new_rep3,0.9333333333333332,0.017099189106375,0.113187202407668,0.130286391514043,stage4f_fresh_6501_6524
42002,transition_dense,8,new_rep2,previous_rep0,0.9333333333333332,0.0276681936035554,0.113187202407668,0.1408553960112234,stage4f_fresh_6501_6524
42002,transition_dense,8,new_rep3,previous_rep0,0.9333333333333332,0.0105690044971804,0.130286391514043,0.1408553960112234,stage4f_fresh_6501_6524
42002,transition_dense,32,new_rep1,new_rep2,0.4390243902439024,0.0648212569455305,0.3708876706659794,0.43570892761151,stage4f_fresh_6501_6524
42002,transition_dense,32,new_rep1,new_rep3,0.4390243902439024,0.0153568604340155,0.3708876706659794,0.3862445310999949,stage4f_fresh_6501_6524
42002,transition_dense,32,new_rep1,previous_rep0,0.2702702702702703,0.0575756138811509,0.3708876706659794,0.3133120567848285,stage4f_fresh_6501_6524
42002,transition_dense,32,new_rep2,new_rep3,0.5454545454545454,0.049464396511515,0.43570892761151,0.3862445310999949,stage4f_fresh_6501_6524
42002,transition_dense,32,new_rep2,previous_rep0,0.3157894736842105,0.1223968708266814,0.43570892761151,0.3133120567848285,stage4f_fresh_6501_6524
42002,transition_dense,32,new_rep3,previous_rep0,0.3589743589743589,0.0729324743151664,0.3862445310999949,0.3133120567848285,stage4f_fresh_6501_6524
42002,transition_dense,64,new_rep1,new_rep2,0.3589743589743589,0.0269098232189815,0.7616688658793768,0.7347590426603953,stage4f_fresh_6501_6524
42002,transition_dense,64,new_rep1,new_rep3,0.7924528301886793,0.0274110957980155,0.7616688658793768,0.7342577700813612,stage4f_fresh_6501_6524
42002,transition_dense,64,new_rep1,previous_rep0,0.780952380952381,0.1057351132233938,0.7616688658793768,0.655933752655983,stage4f_fresh_6501_6524
