specimen_id,C_temporal_AB,C_temporal_BA,long_short_gain_AB,long_short_gain_BA,long_short_gain_mean
341016267,10,10,-0.02129483222961448,-0.006776273250579834,-0.014035552740097157
341442651,10,10,-0.004611074924468772,-0.009117484092712402,-0.006864279508590587
341459814,10,10,-0.022333085536956787,-0.014570832252502441,-0.018451958894729614
354190013,10,25,0.0056623220443723365,0.021068692207336426,0.013365507125854381
354833767,10,10,0.013117909431457436,0.0105754137039184,0.011846661567687919
367567889,10,10,-0.0037424564361571546,0.00032061338424680004,-0.0017109215259551772
369697038,10,10,0.008024930953979381,-0.016658008098602406,-0.004316538572311512
370351753,10,10,0.00106322765350364,-0.004985094070434792,-0.001960933208465576
382982932,10,10,-0.010455667972564808,-0.004072010517120361,-0.007263839244842585
386049446,10,25,0.004734754562377819,0.047769248485565186,0.026252001523971502
386970660,25,10,-0.0017198920249940075,-0.01350194215774514,-0.007610917091369573
395785266,10,10,-0.0558031797409057,-0.0325210094451904,-0.044162094593048054
395830185,10,25,-0.0011053085327148438,0.005253434181213379,0.0020740628242492676
396939115,50,10,0.08386379480361938,-0.007537662982940785,0.0381630659103393
396968721,50,10,0.029900848865509033,-0.024961650371551625,0.0024695992469787043
397129612,10,10,0.0065205097198487,-0.0039117336273192,0.00130438804626475
397248752,10,10,-0.0008245706558227539,-0.04289722442626964,-0.021860897541046198
397348126,10,10,-0.0001254081726074002,-0.0033380985260009995,-0.0017317533493041999
397353539,10,10,-0.003769397735595814,-0.004326581954956055,-0.004047989845275934
397354239,10,10,-0.009111225605010986,0.009237289428710826,6.303191184992007e-05
422055317,25,50,0.07645362615585316,0.006357908248901589,0.041405767202377375
422738880,10,10,-0.006662189960479514,-0.0028098225593565784,-0.004736006259918046
464079491,10,10,0.0072165727615357556,0.008004069328308216,0.007610321044921986
464188580,10,10,-0.000694274902343972,-0.005973160266876332,-0.003333717584610152
464191630,10,10,-0.013849198818206787,-0.006469428539276234,-0.01015931367874151
464198958,50,200,-0.05815732479095459,-0.00020933151245117188,-0.02918332815170288
464212183,200,50,-0.0077391862869263806,0.004028201103210338,-0.0018554925918580212
465924786,10,10,0.01633721590042103,-0.009130358695983998,0.003603428602218517
466378900,10,10,-0.00206834077835083,0.0027059316635131836,0.00031879544258117676
466632464,10,10,0.009806334972381592,-0.0034203529357910156,0.003192991018295288
466664172,50,10,0.001642465591430442,-0.025104761123657116,-0.011731147766113337
466827702,25,25,0.0218733549118042,0.0680240392684936,0.0449486970901489
467003163,25,50,-0.029815971851348988,0.06095463037490845,0.01556932926177973
467357834,10,25,-0.0052495598793029785,0.021997809410095215,0.008374124765396118
467703703,25,10,0.016572952270508035,-0.026673078536987527,-0.005050063133239746
467831649,10,10,-0.0023093223571776997,-0.018159389495849602,-0.010234355926513651
468120757,10,25,-0.0050504207611083984,0.027557075023651012,0.011253327131271307
469614747,10,10,-0.026708662509918435,-0.026648223400115967,-0.0266784429550172
469704261,10,10,-0.004925370216369599,-0.00026297569274898907,-0.002594172954559294
469720505,25,10,0.03399020433425903,-0.030762672424316295,0.001613765954971369
469734859,10,10,-0.0070681571960448,-0.0010558366775512999,-0.00406199693679805
469753383,25,100,0.058025896549224854,-0.02293384075164795,0.017546027898788452
469763389,10,10,-0.009918510913848766,0.009736835956573264,-9.083747863775082e-05
469793303,10,10,0.011754035949706955,0.0155473947525024,0.013650715351104677
469800845,25,25,0.027945339679718018,0.015534520149230957,0.021739929914474487
469801569,10,10,-0.016057252883911133,-0.012112438678741566,-0.01408484578132635
469803003,10,10,-0.02226775884628318,-0.03639686107635498,-0.02933230996131908
469803127,10,25,-0.018416225910186768,0.00708913803100597,-0.005663543939590399
469832490,10,25,0.0012053251266479477,0.0216813087463379,0.011443316936492925
469864405,10,10,0.006220638751983754,-0.037377893924713135,-0.01557862758636469
470098860,10,10,-0.0296728014945985,0.002896249294281006,-0.013388276100158747
471087830,10,10,-0.02614074945449818,-0.018250107765197754,-0.022195428609847967
471129934,10,10,0.0039246082305907995,-0.004338622093200699,-0.00020700693130494986
471131311,10,25,-0.03605872392654441,0.013587176799774392,-0.01123577356338501
471141261,50,10,0.019777357578277588,-0.0053040385246275745,0.007236659526825007
471789504,10,10,-0.014014244079589733,-0.013135254383087047,-0.01357474923133839
471800189,10,10,-0.0009907484054565,0.009580850601196199,0.00429505109786985
471819401,10,25,-0.0010331273078918457,0.005797445774078369,0.0023821592330932617
473011949,10,10,0.0016335248947144001,0.007449448108672999,0.0045414865016936996
473020156,10,25,0.0012130141258239746,0.026778042316436657,0.013995528221130316
473564515,10,10,-0.0169130563735962,-0.0121861696243286,-0.014549612998962399
473593847,25,25,-0.014572620391845592,0.03582489490509022,0.010626137256622314
473642382,10,10,0.014972150325775258,0.0007682442665100098,0.007870197296142634
473909767,10,10,-0.008450090885162354,-0.018054485321045033,-0.013252288103103693
473943881,10,10,-0.0194496512413026,0.009136974811553844,-0.005156338214874379
473951795,50,25,0.023840010166168435,-0.0009463429450987659,0.011446833610534835
474267418,10,10,-0.028494238853454368,-0.015347957611083984,-0.021921098232269176
474283475,10,10,-0.010143876075744629,0.0020990371704103783,-0.004022419452667125
474626527,50,10,0.03763687610626221,-0.008547544479370228,0.01454466581344599
474637203,10,10,-0.0011049509048461,0.0021286010742187188,0.0005118250846863094
474652473,10,10,-0.03564167022705078,0.0009540319442750134,-0.017343819141387884
474660482,10,10,0.0159494876861572,-0.038378596305847196,-0.011214554309844998
475057898,10,10,-0.018517374992370605,-0.029801547527313232,-0.02415946125984192
475400072,10,25,0.005943357944488525,0.020588696002960205,0.013266026973724365
475512108,10,10,-0.009472131729126,-9.167194366449999e-05,-0.004781901836395251
475517090,25,50,0.01770162582397483,0.03317892551422119,0.02544027566909801
475542907,25,10,0.0023528337478637,0.0020817518234253016,0.002217292785644501
475580568,10,10,-0.00698477029800415,-0.0353410243988036,-0.021162897348403875
475585413,500,25,0.022870242595672607,0.016607582569122203,0.019738912582397405
475586130,10,10,0.0011856555938721,0.0013948678970337,0.0012902617454529
475619045,10,10,0.0095478296279907,0.012604117393493586,0.011075973510742142
475622680,10,25,-0.016010642051696777,-0.001975893974303977,-0.008993268013000377
475622793,10,10,-0.010396778583526611,-0.017574191093444935,-0.013985484838485773
475625477,10,10,0.0008456707000733532,-0.011007845401763916,-0.005081087350845281
475740357,10,10,-0.013358891010284535,-0.009196698665618785,-0.01127779483795166
475751758,10,25,-0.0005977153778076172,-0.004276633262634388,-0.0024371743202210028
475838754,10,10,-0.004400372505188,7.766485214230157e-05,-0.0021613538265228493
475848827,50,25,0.04111647605895996,0.054522454738617165,0.04781946539878856
475894121,10,10,-0.008672833442688,0.0033744573593139,-0.0026491880416870503
475895240,10,10,0.00375211238861084,0.0027364492416384056,0.0032442808151246227
476048909,10,25,-0.004615664482116699,0.045525670051574596,0.02045500278472895
476053392,10,10,0.0006175041198729999,0.007197380065917899,0.00390744209289545
476054829,10,10,-0.029465556144714355,-0.03243952989578247,-0.030952543020248413
476056333,25,25,0.0006406903266905628,0.0075958967208861194,0.004118293523788341
476093220,10,10,-0.0022985339164734997,-0.05288827419280995,-0.027593404054641724
476099282,10,10,8.7618827818714e-06,0.004683494567871205,0.002346128225326538
