subject,C,rho_within
637484,4.0,0.0801450325081807
637484,0.25,0.0921123150723808
637484,1.0,0.0952495218281056
637484,4.0,0.0976127145751702
637484,0.25,0.1241360917128434
637484,1.0,0.1259690432358767
637484,4.0,0.127633228710827
637484,0.25,0.0736351520802811
637484,1.0,0.0693358057955981
637484,4.0,0.0666579313300406
637484,0.25,0.1438381045182146
637484,1.0,0.1462635977329264
637484,4.0,0.1479572509943259
637484,0.25,0.1859117376599803
637484,1.0,0.1861688530294453
637484,4.0,0.1857850756523456
