coupling,noise_sigma,method_label,metric,n_graphs,mean,median,ci95_low,ci95_high,positive_graphs,negative_graphs,zero_graphs,interval_scope
0.03875,0.8,A_sparse,mean_rate_hz,12,20.66186328728994,20.641721685727436,20.6138486251235,20.71133181154728,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_sparse,dominant_frequency_hz,12,69.47395833333333,69.5,69.43055555555556,69.51041666666667,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_sparse,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_sparse,synchrony_proxy,12,0.9440319233884414,0.9451655683418115,0.9201505996597312,0.96661312641162,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_sparse,spectral_concentration,12,0.6475886387957467,0.6592798742155234,0.610995549398164,0.6831730018059413,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,A_sparse,spectral_entropy,12,0.2986439168711917,0.2990401713177561,0.28122973814541985,0.3159139042086382,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,rhythm_score,12,0.17771621410631466,0.17853584606200454,0.15634014776086483,0.19952821384843747,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,mean_rate_hz,12,20.229185077879162,20.226601282755535,20.181638717651367,20.2792138463921,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,dominant_frequency_hz,12,69.68055555555556,69.60416666666666,69.58506944444446,69.78298611111113,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,synchrony_proxy,12,0.650342117374142,0.6476688000063102,0.6337594590149819,0.6666084949961967,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,spectral_concentration,12,0.5219806625714732,0.5387734659016132,0.484250017551757,0.5598265202987629,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,shared_random,spectral_entropy,12,0.43200164174454087,0.433495806530118,0.4104472754135107,0.45297847088271126,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,rhythm_score,12,0.33674505249493647,0.33700077204654616,0.31049764144441316,0.3640831795301185,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,mean_rate_hz,12,20.680607815583546,20.681272387504578,20.638547140525446,20.726480639311998,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,dominant_frequency_hz,12,69.37152777777779,69.39583333333333,69.30034722222221,69.44097222222223,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,silent_fraction,12,0.0,0.0,0.0,0.0,0,0,12,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,synchrony_proxy,12,1.0140266319115956,1.0115027353167534,1.0026886693098478,1.0256529233418403,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,spectral_concentration,12,0.6225361590170199,0.6294585013141234,0.5892592376201518,0.6564199935386164,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,0.8,spectral,spectral_entropy,12,0.31105077685788274,0.3156472099944949,0.2924696028698235,0.32878837956296686,12,0,0,pointwise; descriptive; no cell-wise tests
0.03875,1.0,A_mid,rhythm_score,12,0.3350836985951497,0.32612038310617203,0.31218609037265804,0.3580062048600262,12,0,0,pointwise; descriptive; no cell-wise tests
