graph,task,coupling,readout,method,score,normalized_score,mask_count
formal-07,delayed_recall,0.035,state_matched,random_search,0.9097665718155743,0.9097665718155743,1
formal-07,delayed_recall,0.035,cross_state_readout,random_search,-2.366442256161833,-2.366442256161833,1
formal-07,delayed_recall,0.05,state_matched,random_search,0.9240115048985276,0.9240115048985276,1
formal-07,delayed_recall,0.05,cross_state_readout,random_search,-3.6268913165976393,-3.6268913165976393,1
formal-07,delayed_recall,0.035,state_matched,local_search,0.9124458092394443,0.9124458092394443,1
formal-07,delayed_recall,0.035,cross_state_readout,local_search,-11.684988935761496,-11.684988935761496,1
formal-07,delayed_recall,0.05,state_matched,local_search,0.9155457513262102,0.9155457513262102,1
formal-07,delayed_recall,0.05,cross_state_readout,local_search,-0.9743887420732276,-0.9743887420732276,1
formal-07,delayed_recall,0.035,state_matched,population_search,0.926638613009571,0.926638613009571,1
formal-07,delayed_recall,0.035,cross_state_readout,population_search,-5.095040664547916,-5.095040664547916,1
formal-07,delayed_recall,0.05,state_matched,population_search,0.9231308573873959,0.9231308573873959,1
formal-07,delayed_recall,0.05,cross_state_readout,population_search,-2.197407805723243,-2.197407805723243,1
formal-07,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9330649380226768,0.9330649380226768,1
formal-07,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-14.93281406693518,-14.93281406693518,1
formal-07,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9073344305450184,0.9073344305450184,1
formal-07,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-0.656768069724208,-0.656768069724208,1
formal-07,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.879821852432078,0.879821852432078,1
